name,id,shortName,domainType,formName,valueType,categoryCombo.id
MOH 706B Line Probe Assay -2nd Line Anti-TB Drugs- Total Done,fifgjgsLkWL,MOH 706B Line Probe Assay -2nd Line Anti-TB Drugs-,AGGREGATE,Total Done,INTEGER,OzshuDqmXQI
MOH 706B Line Probe Assay M.absessus,UhjRH0rwP9y,MOH 706B Line Probe Assay M.absessus,AGGREGATE,M.absessus,INTEGER,OzshuDqmXQI
MOH 706B Line Probe Assay M.africanum,bLWzmqle0l8,MOH 706B Line Probe Assay M.africanum,AGGREGATE,M.africanum,INTEGER,OzshuDqmXQI
MOH 706B Line Probe Assay M.avium,VHs2fLfQN4L,MOH 706B Line Probe Assay M.avium,AGGREGATE,M.avium,INTEGER,OzshuDqmXQI
MOH 706B Line Probe Assay M.fortuitum,lf2SOSX8ZKz,MOH 706B Line Probe Assay M.fortuitum,AGGREGATE,M.fortuitum,INTEGER,OzshuDqmXQI
MOH 706B Line Probe Assay M.gondae,t7pz6cCMIKa,MOH 706B Line Probe Assay M.gondae,AGGREGATE,M.gondae,INTEGER,OzshuDqmXQI
MOH 706B Line Probe Assay M.kansasaii,MDoSveVUNs0,MOH 706B Line Probe Assay M.kansasaii,AGGREGATE,M.kansasaii,INTEGER,OzshuDqmXQI
MOH 706B Line Probe Assay Type of MOTT detected,ENkuIH5GmUH,MOH 706B Line Probe Assay Type of MOTT detected,AGGREGATE,Type of MOTT detected,INTEGER,OzshuDqmXQI
MOH 706B Listeria monocytogenes,UYR9LS5Q2Ii,MOH 706B Listeria monocytogenes,AGGREGATE,Listeria monocytogenes,INTEGER,AjLYyrBa579
MOH 706B Liver,T47QoQpgm1o,MOH 706B Liver,AGGREGATE,Liver,INTEGER,TQgPSv8vuse
MOH 706B Low  Grade Intraepithelial lesion -LSIL-,XzZ9NwfAO2G,MOH 706B Low  Grade Intraepithelial lesion -LSIL-,AGGREGATE,Low Grade Intraepithelial lesion -LSIL,INTEGER,OzshuDqmXQI
MOH 706B Lymph nodes,oiGy4SE5rst,MOH 706B Lymph nodes,AGGREGATE,Lymph nodes,INTEGER,CKZzBrAGjyN
MOH 706B Lymphatic Filariasis (LF),cWckFtuFKDH,MOH 706B Lymphatic Filariasis (LF),AGGREGATE,Lymphatic Filariasis (LF),INTEGER,OzshuDqmXQI
MOH 706B Lymphnodes,HtXngs81gXH,MOH 706B Lymphnodes,AGGREGATE,Lymphnodes,INTEGER,TQgPSv8vuse
MOH 706B Magnesium,NCNxQEBpeVQ,MOH 706B Magnesium,AGGREGATE,Magnesium,INTEGER,NxPDKZ1fqaA
MOH 706B Malaria Blood Slide Re-checking,K9dRHdd7M1l,MOH 706B Malaria Blood Slide Re-checking,AGGREGATE,Malaria Blood Slide Re-checking,INTEGER,gl1zI4kJLdc
MOH 706B Methanol in alcoholic beverages,Kxq47ajAkUv,MOH 706B Methanol in alcoholic beverages,AGGREGATE,Methanol in alcoholic beverages,INTEGER,OzshuDqmXQI
MOH 706B MilkandMilk products -Yoghurt- ice cream-,zrgSrcqjamu,MOH 706B MilkandMilk products -Yoghurt- ice cream-,AGGREGATE,MilkandMilk products -Yoghurt- ice cream-,INTEGER,OzshuDqmXQI
MOH 706B Neisseria gonorrhoea,DhFFTFAWvqq,MOH 706B Neisseria gonorrhoea,AGGREGATE,Neisseria gonorrhoea,INTEGER,AjLYyrBa579
MOH 706B Neisseria meningitidis,PBRXgfBy61D,MOH 706B Neisseria meningitidis,AGGREGATE,Neisseria meningitidis,INTEGER,AjLYyrBa579
MOH 706B Neisseria meningitidis -indeterminate-,uvBMA1GP1H3,MOH 706B Neisseria meningitidis -indeterminate-,AGGREGATE,Neisseria meningitidis -indeterminate-,INTEGER,OzshuDqmXQI
MOH 706B Neisseria meningitidis A,JcbqNQQAtfA,MOH 706B Neisseria meningitidis A,AGGREGATE,Neisseria meningitidis A,INTEGER,OzshuDqmXQI
MOH 706B Neisseria meningitidis B,zfeQAagQ24J,MOH 706B Neisseria meningitidis B,AGGREGATE,Neisseria meningitidis B,INTEGER,OzshuDqmXQI
MOH 706B Neisseria meningitidis C,jXFhe6axHGp,MOH 706B Neisseria meningitidis C,AGGREGATE,Neisseria meningitidis C,INTEGER,OzshuDqmXQI
MOH 706B Neisseria meningitidis W135,mS9VIJBeDM4,MOH 706B Neisseria meningitidis W135,AGGREGATE,Neisseria meningitidis W135,INTEGER,OzshuDqmXQI
MOH 706B Neisseria meningitidis X,eTi6paK3tQt,MOH 706B Neisseria meningitidis X,AGGREGATE,Neisseria meningitidis X,INTEGER,OzshuDqmXQI
MOH 706B Neisseria meningitidis Y,LgzBe7TARXK,MOH 706B Neisseria meningitidis Y,AGGREGATE,Neisseria meningitidis Y,INTEGER,OzshuDqmXQI
MOH 706B Onchocerciasis,mvkzccnMGJ7,MOH 706B Onchocerciasis,AGGREGATE,Onchocerciasis,INTEGER,OzshuDqmXQI
MOH 706B Other Vitamins in fortified Flours,gL7Ej8pZnuJ,MOH 706B Other Vitamins in fortified Flours,AGGREGATE,Other Vitamins in fortified Flours,INTEGER,OzshuDqmXQI
MOH 706B Others,sDQkM9rFrD3,MOH 706B Others,AGGREGATE,Others,INTEGER,O8Wq8QW7Ze2
MOH 706B Ovary,Ua3yCUqa1pE,MOH 706B Ovary,AGGREGATE,Ovary,INTEGER,CKZzBrAGjyN
MOH 706B PAP smear,BfcFbPHVHe6,MOH 706B PAP smear,AGGREGATE,PAP smear,INTEGER,OzshuDqmXQI
MOH 706B PCR,Hq9Iz3NMMrK,MOH 706B PCR,AGGREGATE,PCR,INTEGER,wwVSbrqaVzR
MOH 706B PSA,FKm4YXQDMgy,PSA,AGGREGATE,PSA,NUMBER,OzshuDqmXQI
MOH 706B Pesticides in cereals and their products,kzAmVxtw0vN,MOH 706B Pesticides in cereals and their products,AGGREGATE,Pesticides in cereals and their products,INTEGER,OzshuDqmXQI
MOH 706B Pesticides in fruits- vegetables and their products,qRIkaQCiq7c,MOH 706B Pesticides in fruits- vegetables and thei,AGGREGATE,Pesticides in fruits- vegetables and their products,INTEGER,OzshuDqmXQI
MOH 706B Pesticides in water,iHDd7eGxzFI,MOH 706B Pesticides in water,AGGREGATE,Pesticides in water,INTEGER,OzshuDqmXQI
MOH 706B Phenolic substances in water,KsLL36ul9jE,MOH 706B Phenolic substances in water,AGGREGATE,Phenolic substances in water,INTEGER,OzshuDqmXQI
MOH 706B Phosphorous,QzftXO1HwxI,MOH 706B Phosphorous,AGGREGATE,Phosphorous,INTEGER,NxPDKZ1fqaA
MOH 706B Pleural,qQA9LNZODgE,MOH 706B Pleural,AGGREGATE,Pleural,INTEGER,FCqglvORzsT
MOH 706B Preservatives in alcoholic beverages,LryNTDsKSRq,MOH 706B Preservatives in alcoholic beverages,AGGREGATE,Preservatives in alcoholic beverages,INTEGER,OzshuDqmXQI
MOH 706B Preservatives in non-alcoholic beverages,TmPC5aGImam,MOH 706B Preservatives in non-alcoholic beverages,AGGREGATE,Preservatives in non-alcoholic beverages,INTEGER,OzshuDqmXQI
MOH 706B Progesterone,QhqphJAE1Wf,MOH 706B Progesterone,AGGREGATE,Progesterone,INTEGER,OzshuDqmXQI
MOH 706B Prolactin,kFrgsuFzf3v,MOH 706B Prolactin,AGGREGATE,Prolactin,INTEGER,IQQlfI2wiMy
MOH 706B Prostate,bE19kJ4AHBD,MOH 706B Prostate,AGGREGATE,Prostate,INTEGER,CKZzBrAGjyN
MOH 706B Protius mirabilis,ozITZ88hLzT,MOH 706B Protius mirabilis,AGGREGATE,Protius mirabilis,INTEGER,AjLYyrBa579
MOH 706B Protius vulgaris,SA5TVC4hFXo,MOH 706B Protius vulgaris,AGGREGATE,Protius vulgaris,INTEGER,AjLYyrBa579
MOH 706B Protozoans,AIZP1YHVHxD,MOH 706B Protozoans,AGGREGATE,Protozoans,INTEGER,OzshuDqmXQI
MOH 706B Pseudomonus aeruginosa,z2X3f46RMiO,MOH 706B Pseudomonus aeruginosa,AGGREGATE,Pseudomonus aeruginosa,INTEGER,AjLYyrBa579
MOH 706B Pus swabs Escherichia coli,sEKPugZ06Me,MOH 706B Pus swabs Escherichia coli,AGGREGATE,Escherichia coli,INTEGER,OzshuDqmXQI
MOH 706B Pus swabs Other gram neg organisms,OrFT9Meo9RL,MOH 706B Pus swabs Other gram neg organisms,AGGREGATE,Other gram neg organisms,INTEGER,NvlcQ5WddI7
MOH 706B Pus swabs Protius mirabilis,Zjn8jinTquh,MOH 706B Pus swabs Protius mirabilis,AGGREGATE,Protius mirabilis,INTEGER,OzshuDqmXQI
MOH 706B Pus swabs Protius vulgaris,MmeAeqlMEig,MOH 706B Pus swabs Protius vulgaris,AGGREGATE,Protius vulgaris,INTEGER,OzshuDqmXQI
MOH 706B Pus swabs Pseudomonus aeruginosa,MMK4dpBzXev,MOH 706B Pus swabs Pseudomonus aeruginosa,AGGREGATE,Pseudomonus aeruginosa,INTEGER,OzshuDqmXQI
MOH 706B Pus swabs Staphylococcus aureus,vJnpQZnTXXF,MOH 706B Pus swabs Staphylococcus aureus,AGGREGATE,Staphylococcus aureus,INTEGER,OzshuDqmXQI
MOH 706B Pus swabs Streptococcus pyogenes,b4uqeOwq6Ep,MOH 706B Pus swabs Streptococcus pyogenes,AGGREGATE,Streptococcus pyogenes,INTEGER,OzshuDqmXQI
MOH 706B RT-PCR Influenza A H1N1,W6pVcsHqX2d,MOH 706B RT-PCR Influenza A H1N1,AGGREGATE,RT-PCR Influenza A H1N1,INTEGER,c1nWVZQDZx7
MOH 706B RT-PCR Influenza A H1N2,AVYsEGDS4Zg,MOH 706B RT-PCR Influenza A H1N2,AGGREGATE,RT-PCR Influenza A H1N2,INTEGER,OzshuDqmXQI
MOH 706B RT-PCR Influenza A H3N2,SF25YNwDywt,MOH 706B RT-PCR Influenza A H3N2,AGGREGATE,RT-PCR Influenza A H3N2,INTEGER,OzshuDqmXQI
MOH 706B RT-PCR Influenza B ,KurZ3jzyXMq,MOH 706B RT-PCR Influenza ,AGGREGATE,RT-PCR Influenza B ,INTEGER,OzshuDqmXQI
MOH 706B Rapid Influenza A,F7F2kWQOCzW,MOH 706B Rapid Influenza A,AGGREGATE,Rapid Influenza A,INTEGER,c1nWVZQDZx7
MOH 706B Rapid Influenza B,WWRB1t1Dmsx,MOH 706B Rapid Influenza B,AGGREGATE,Rapid Influenza B,INTEGER,c1nWVZQDZx7
MOH 706B River,UGVSapi2sAq,MOH 706B River,AGGREGATE,River,INTEGER,OzshuDqmXQI
MOH 706B Salmonella paratyphi,oxzf4SxVhma,MOH 706B Salmonella paratyphi,AGGREGATE,Salmonella paratyphi,INTEGER,AjLYyrBa579
MOH 706B Salmonella typhi,F9nWWQygD5u,MOH 706B Salmonella typhi,AGGREGATE,Salmonella typhi,INTEGER,AjLYyrBa579
MOH 706B Salmonella typhimurium,HVy8mVmjrrY,MOH 706B Salmonella typhimurium,AGGREGATE,Salmonella typhimurium,INTEGER,AjLYyrBa579
MOH 706B Schistomiasis,dpJYBb1C0i8,MOH 706B Schistomiasis,AGGREGATE,Schistomiasis,INTEGER,OzshuDqmXQI
MOH 706B Shigella boydi,dE6IONi8WFi,MOH 706B Shigella boydi,AGGREGATE,Shigella boydi,INTEGER,AjLYyrBa579
MOH 706B Shigella dysentriae,suOjMIRj4Jy,MOH 706B Shigella dysentriae,AGGREGATE,Shigella dysentriae,INTEGER,AjLYyrBa579
MOH 706B Shigella dysentriae 1,ERg1SnPZaOM,MOH 706B Shigella dysentriae 1,AGGREGATE,Shigella dysentriae 1,INTEGER,OzshuDqmXQI
MOH 706B Shigella sonnei,k26MLtnfW8U,MOH 706B Shigella sonnei,AGGREGATE,Shigella sonnei,INTEGER,AjLYyrBa579
MOH 706B Skin,kUWQKtxuvOU,MOH 706B Skin,AGGREGATE,Skin,INTEGER,CKZzBrAGjyN
MOH 706B Soft tissues,I29ZXF9bZSE,MOH 706B Soft tissues,AGGREGATE,Soft tissues,INTEGER,OzshuDqmXQI
MOH 706B Soil Transmitted Helminthes (STHs),v11kDuqMPa0,MOH 706B Soil Transmitted Helminthes (STHs),AGGREGATE,Soil Transmitted Helminthes (STHs),INTEGER,OzshuDqmXQI
MOH 706B Spring,uOLrFveBE0h,MOH 706B Spring,AGGREGATE,Spring,INTEGER,OzshuDqmXQI
MOH 706B Sputum,AOFD7cYwk5r,MOH 706B Sputum,AGGREGATE,Sputum,INTEGER,FCqglvORzsT
MOH 706B Sputum Haemophilus influenzae,jugjSUmnYJv,MOH 706B Sputum Haemophilus influenzae,AGGREGATE,Haemophilus influenzae,INTEGER,NvlcQ5WddI7
MOH 706B Sputum Klebsiella pneumoniae,uqh1DEA58et,MOH 706B Sputum Klebsiella pneumoniae,AGGREGATE,Klebsiella pneumoniae,INTEGER,NvlcQ5WddI7
MOH 706B Sputum Pseudomonas aeruginosa,B5uTsd1Qvey,MOH 706B Sputum Pseudomonas aeruginosa,AGGREGATE,Pseudomonas aeruginosa,INTEGER,NvlcQ5WddI7
MOH 706B Sputum Staphylococcus aureus,olqF7NeLVpC,MOH 706B Sputum Staphylococcus aureus,AGGREGATE,Staphylococcus aureus,INTEGER,NvlcQ5WddI7
MOH 706B Sputum Streptococcus pneumoniae,qJePKm8sBs5,MOH 706B Sputum Streptococcus pneumoniae,AGGREGATE,Streptococcus pneumoniae,INTEGER,NvlcQ5WddI7
MOH 706B Sputum others,AK0KAAbIYKB,MOH 706B Sputum others,AGGREGATE,others             .,INTEGER,NvlcQ5WddI7
MOH 706B Squamous cell carcinoma -SCC-,SEYASIaywbY,MOH 706B Squamous cell carcinoma -SCC-,AGGREGATE,Squamous cell carcinoma -SCC-,INTEGER,OzshuDqmXQI
MOH 706B Staphylococcis aureus,TS2cvC5c6gr,MOH 706B Staphylococcis aureus,AGGREGATE,Staphylococcis aureus,INTEGER,AjLYyrBa579
MOH 706B Staphylococcus saprophiticus,J4WgnKpEyr3,MOH 706B Staphylococcus saprophiticus,AGGREGATE,Staphylococcus saprophiticus,INTEGER,AjLYyrBa579
MOH 706B Stool 0157H E.coli-,AI7wwdz9BTW,MOH 706B Stool 0157H E.coli-,AGGREGATE,0157H E.coli-,INTEGER,OzshuDqmXQI
MOH 706B Stool Campylobactor,KFxrbDsMhCD,MOH 706B Stool Campylobactor,AGGREGATE,Campylobactor,INTEGER,OzshuDqmXQI
MOH 706B Stool Clostridium difficile,nwLA5rtOMkK,MOH 706B Stool Clostridium difficile,AGGREGATE,Clostridium difficile,INTEGER,OzshuDqmXQI
MOH 706B Stool Others,fJb9MNnR2X4,MOH 706B Stool Others,AGGREGATE,Stool Others,INTEGER,OzshuDqmXQI
MOH 706B Stool Salmonella paratyphi,hGg5fhsFXAL,MOH 706B Stool Salmonella paratyphi,AGGREGATE,Salmonella paratyphi,INTEGER,OzshuDqmXQI
MOH 706B Stool Salmonella typhi,TxTQo3v1BAt,MOH 706B Stool Salmonella typhi,AGGREGATE,Salmonella typhi,INTEGER,OzshuDqmXQI
MOH 706B Stool Salmonella typhimurium,sGtghT26MSt,MOH 706B Stool Salmonella typhimurium,AGGREGATE,Salmonella typhimurium,INTEGER,OzshuDqmXQI
MOH 706B Stool Shigella boydi,eryMgbdvYua,MOH 706B Stool Shigella boydi,AGGREGATE,Shigella boydi,INTEGER,OzshuDqmXQI
MOH 706B Stool Shigella dysentriae,Zp4LNtptHnh,MOH 706B Stool Shigella dysentriae,AGGREGATE,Shigella dysentriae,INTEGER,OzshuDqmXQI
MOH 706B Stool Shigella sonnei,HipNXKLFdX7,MOH 706B Stool Shigella sonnei,AGGREGATE,Shigella sonnei,INTEGER,OzshuDqmXQI
MOH 706B Stool Vibrio choleara,oXxcdyZu54i,MOH 706B Stool Vibrio choleara,AGGREGATE,Vibrio choleara,INTEGER,OzshuDqmXQI
MOH 706B Stool Vibrio parahemolytica,mF1PsCEFYAW,MOH 706B Stool Vibrio parahemolytica,AGGREGATE,Vibrio parahemolytica,INTEGER,OzshuDqmXQI
MOH 706B Streptoccus agalactiae,OAdhH9ncFXH,MOH 706B Streptoccus agalactiae,AGGREGATE,Streptoccus agalactiae,INTEGER,AjLYyrBa579
MOH 706B Streptococcus pneumoniae,oXLfjq7SgWk,MOH 706B Streptococcus pneumoniae,AGGREGATE,Streptococcus pneumoniae,INTEGER,AjLYyrBa579
MOH 706B Streptococcus pyogenes,sgawYQRr1iK,MOH 706B Streptococcus pyogenes,AGGREGATE,Streptococcus pyogenes,INTEGER,AjLYyrBa579
MOH 706B TB Culture MDR follow up,QEYj6AveIXz,MOH 706B TB Culture MDR follow up,AGGREGATE,MDR follow up,INTEGER,OzshuDqmXQI
MOH 706B TB Culture Total  Sputum Done,C6My4ELYE3f,MOH 706B TB Culture Total  Sputum Done,AGGREGATE,Total  Sputum Done,INTEGER,OzshuDqmXQI
MOH 706B TB Culture Total MTB Culture isolated,LjKWCDqUePM,MOH 706B TB Culture Total MTB Culture isolated,AGGREGATE,Total M isolated,INTEGER,OzshuDqmXQI
MOH 706B TB Culture Total sputum culture positive,GnOyJehVrWg,MOH 706B TB Culture Total sputum culture positive,AGGREGATE,Total sputum culture positive,INTEGER,OzshuDqmXQI
MOH 706B TSH,rca2M3Ew1w1,MOH 706B TSH,AGGREGATE,TSH,INTEGER,mEOXtF56sEL
MOH 706B Taeniasis,fKlZQADy3B2,MOH 706B Taeniasis,AGGREGATE,Taeniasis,INTEGER,OzshuDqmXQI
MOH 706B Tap water,Ga89FfFycYc,MOH 706B Tap water,AGGREGATE,Tap water,INTEGER,OzshuDqmXQI
MOH 706B Testosterone,EXcSU0CdW5y,MOH 706B Testosterone,AGGREGATE,Testosterone,INTEGER,IQQlfI2wiMy
MOH 706B Throat swab Arcanobacterium haemolyticum,z2ZPcQTHEs9,MOH 706B Throat swab Arcanobacterium haemolyticum,AGGREGATE,Arcanobacterium haemolyticum,INTEGER,NvlcQ5WddI7
MOH 706B Throat swab Others,TLMeQ4Opz5W,MOH 706B Throat swab Others,AGGREGATE,Others              .,INTEGER,NvlcQ5WddI7
MOH 706B Throat swab Streptoccus pyogenes,o89UwVqD9MH,MOH 706B Throat swab Streptoccus pyogenes,AGGREGATE,Streptoccus pyogenes,INTEGER,NvlcQ5WddI7
MOH 706B Thyroid,Guft4m43B2N,MOH 706B Thyroid,AGGREGATE,Thyroid,INTEGER,TQgPSv8vuse
MOH 706B Thyroid Antibody test,EKJsu4hehyI,MOH 706B Thyroid Antibody test,AGGREGATE,Thyroid Antibody test,INTEGER,mEOXtF56sEL
MOH 706B Tissue impressions,yVZ1GPbiTrj,MOH 706B Tissue impressions,AGGREGATE,Tissue impressions,INTEGER,OzshuDqmXQI
MOH 706B Touch smears preparations,mF6g4aaetkY,MOH 706B Touch smears preparations,AGGREGATE,Touch smears preparations,INTEGER,OzshuDqmXQI
MOH 706B Troponin,FOTe19FhmWr,MOH 706B Troponin,AGGREGATE,Troponin,INTEGER,blRoijxm1hB
MOH 706B Urine,x5BVYV0C5bz,MOH 706B Urine,AGGREGATE,Urine,INTEGER,FCqglvORzsT
MOH 706B Urine ,EfeMgy4VEch,MOH 706B Urine ,AGGREGATE, Urine ,INTEGER,NvlcQ5WddI7
MOH 706B Urine  Staphylococcus aureus,MSHMvTSelyI,MOH 706B Urine  Staphylococcus aureus,AGGREGATE,Staphylococcus aureus,INTEGER,OzshuDqmXQI
MOH 706B Urine Escherichia coli,RYbBuLfQ2SV,MOH 706B Urine Escherichia coli,AGGREGATE,Escherichia coli,INTEGER,OzshuDqmXQI
MOH 706B Urine Other gram neg organisms,tRd7uMghtp6,MOH 706B Urine Other gram neg organisms,AGGREGATE,Urine Other gram neg organisms,INTEGER,OzshuDqmXQI
MOH 706B Urine Protius mirabilis,vpFE3MSsLIl,MOH 706B Urine Protius mirabilis,AGGREGATE,Protius mirabilis,INTEGER,OzshuDqmXQI
MOH 706B Urine Protius vulgaris,Wye0hv6boik,MOH 706B Urine Protius vulgaris,AGGREGATE,Protius vulgaris,INTEGER,OzshuDqmXQI
MOH 706B Urine Staphylococcus saprophiticus,ZQu4n2RAfFt,MOH 706B Urine Staphylococcus saprophiticus,AGGREGATE,Staphylococcus saprophiticus,INTEGER,OzshuDqmXQI
MOH 706B Uterus,f168jay4pYn,MOH 706B Uterus,AGGREGATE,Uterus,INTEGER,CKZzBrAGjyN
MOH 706B Vegetables-french beans- salads-,Mf31bC7Aymi,MOH 706B Vegetables-french beans- salads-,AGGREGATE,Vegetables-french beans- salads-,INTEGER,OzshuDqmXQI
MOH 706B Vibrio choleara Inaba,f90n7oeZp9f,MOH 706B Vibrio choleara Inaba,AGGREGATE,Vibrio choleara Inaba,INTEGER,AjLYyrBa579
MOH 706B Vibrio choleara ogawa,F5lIhLaRUhd,MOH 706B Vibrio choleara ogawa,AGGREGATE,Vibrio choleara ogawa,INTEGER,AjLYyrBa579
MOH 706B Vitamin A in Fats and Oils,Qubikj9CNEj,MOH 706B Vitamin A in Fats and Oils,AGGREGATE,Vitamin A in Fats and Oils,INTEGER,OzshuDqmXQI
MOH 706B Vitamin D,vQ6Xr2stCQl,MOH 706B Vitamin D,AGGREGATE,Vitamin D,INTEGER,NxPDKZ1fqaA
MOH 706B Water samples isolates,PusJk6m3lFi,MOH 706B Water samples isolates,AGGREGATE,Water samples isolates,INTEGER,OzshuDqmXQI
MOH 706B Well,vHI8OqWKZW9,MOH 706B Well,AGGREGATE,Well,INTEGER,OzshuDqmXQI
MOH 706B Yersinia enterocolitica,kmaDuqxOUeI,MOH 706B Yersinia enterocolitica,AGGREGATE,Yersinia enterocolitica,INTEGER,AjLYyrBa579
MOH 706C A Pos,MKEJ1X9dSh8,A Pos,AGGREGATE,A Pos,INTEGER_ZERO_OR_POSITIVE,arbsHaIJU3d
MOH 706C A neg,KkMGSDcf1AK,A neg,AGGREGATE,A neg,INTEGER_ZERO_OR_POSITIVE,arbsHaIJU3d
MOH 706C AB Neg,fAGUk9Vw3E7,AB Neg,AGGREGATE,AB Neg,INTEGER_ZERO_OR_POSITIVE,arbsHaIJU3d
MOH 706C AB Pos,X3qHMFdCmPL,AB Pos,AGGREGATE,AB Pos,INTEGER_ZERO_OR_POSITIVE,arbsHaIJU3d
MOH 706C Air,c8dtl5v77wk,Air,AGGREGATE,Air,INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
MOH 706C Antibody Screen Pos,qexTt2ig4rd,Antibody Screen Pos,AGGREGATE,Antibody Screen Pos,INTEGER_ZERO_OR_POSITIVE,arbsHaIJU3d
MOH 706C B Neg,g6Z2M2VisqU,B Neg,AGGREGATE,B Neg,INTEGER_ZERO_OR_POSITIVE,arbsHaIJU3d
MOH 706C B Pos,mt874iB0UfJ,B Pos,AGGREGATE,B Pos,INTEGER_ZERO_OR_POSITIVE,arbsHaIJU3d
MOH 706C Blood Clot,eKmLaM91g4H,Blood Clot,AGGREGATE,Blood Clot,INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
MOH 706C Convulsions,MykDsOT8puO,Convulsions,AGGREGATE,Convulsions,INTEGER_ZERO_OR_POSITIVE,nwl7JoIHjeQ
MOH 706C Cryoprecipitate (Blood and blood Component distribution),yiLWbYNiyvA,Cryoprecipitate (Blood and blood Component distrib,AGGREGATE,Cryoprecipitate,INTEGER_ZERO_OR_POSITIVE,bm6KR0FVTdz
MOH 706C Cryoprecipitate (Component Preparation),eGalIYF7XpG,Cryoprecipitate (Component Preparation),AGGREGATE,Cryoprecipitate,INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
MOH 706C Expiry,lj9qSkAs5Kp,Expiry,AGGREGATE,Expiry,INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
MOH 706C Fainting / Dizziness,kMkOpTcLg5d,Fainting / Dizziness,AGGREGATE,Fainting / Dizziness,INTEGER_ZERO_OR_POSITIVE,nwl7JoIHjeQ
MOH 706C Fresh Frozen Plasma (Blood and blood Component distribution),SpePLPagZcM,Fresh Frozen Plasma (Blood and blood Component dis,AGGREGATE,Fresh Frozen Plasma,INTEGER_ZERO_OR_POSITIVE,bm6KR0FVTdz
MOH 706C Fresh Frozen Plasma (Component Preparation),ttxtGW6gEcK,Fresh Frozen Plasma (Component Preparation),AGGREGATE,Fresh Frozen Plasma,INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
MOH 706C Frozen plasma 24 Hours (Blood and blood Component distribution),vox0fU0dtih,Frozen plasma 24 Hours (Blood and blood Component ,AGGREGATE,Frozen plasma 24 Hours,INTEGER_ZERO_OR_POSITIVE,bm6KR0FVTdz
MOH 706C Frozen plasma 24 Hours (Component Preparation),PKPIfknsP4t,Frozen plasma 24 Hours (Component Preparation),AGGREGATE,Frozen plasma 24 Hours,INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
MOH 706C H/O blood transfusion,YVDG8HFhJ7c,H/O blood transfusion,AGGREGATE,H/O blood transfusion,INTEGER_ZERO_OR_POSITIVE,fUNd38xzZRR
MOH 706C HBV (Blood Donation Testing),cNaNbdNHG2s,HBV (Blood Donation Testing),AGGREGATE,HBV,INTEGER_ZERO_OR_POSITIVE,lHz6YLIMbWC
MOH 706C HBV (Blood Donation Testing) Outside,fjh6NgRT4CW,HBV (Blood Donation Testing) Outside,AGGREGATE,HBV,INTEGER_ZERO_OR_POSITIVE,lHz6YLIMbWC
MOH 706C HBV (Donor Notification),M0LlPQM9xZj,HBV (Donor Notification),AGGREGATE,HBV,INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
MOH 706C HBV and HCV (Blood Donation Testing),liLGYJCAdmt,HBV and HCV (Blood Donation Testing),AGGREGATE,HBV and HCV,INTEGER_ZERO_OR_POSITIVE,lHz6YLIMbWC
MOH 706C HBV and HCV (Blood Donation Testing) Outside,spONegjY339,HBV and HCV (Blood Donation Testing) Outside,AGGREGATE,HBV and HCV,INTEGER_ZERO_OR_POSITIVE,lHz6YLIMbWC
MOH 706C HBV and HCV (Donor Notification),iG3FNfvuTCs,HBV and HCV (Donor Notification),AGGREGATE,HBV and HCV,INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
MOH 706C HBV and Syphilis (Blood Donation Testing),b2lH6YjxR9M,HBV and Syphilis (Blood Donation Testing),AGGREGATE,HBV and Syphilis,INTEGER_ZERO_OR_POSITIVE,lHz6YLIMbWC
MOH 706C HBV and Syphilis (Blood Donation Testing) Outside,jI3wUgqCitm,HBV and Syphilis (Blood Donation Testing) Outside,AGGREGATE,HBV and Syphilis,INTEGER_ZERO_OR_POSITIVE,lHz6YLIMbWC
MOH 706C HBV and Syphilis (Donor Notification),VMDtxVAyQb4,HBV and Syphilis (Donor Notification),AGGREGATE,HBV and Syphilis,INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
"MOH 706C HBV, Syphilis and HCV (Blood Donation Testing)",p1yiVnfm8og,"HBV, Syphilis and HCV (Blood Donation Testing)",AGGREGATE,"HBV, Syphilis and HCV",INTEGER_ZERO_OR_POSITIVE,lHz6YLIMbWC
"MOH 706C HBV, Syphilis and HCV (Blood Donation Testing) Outside",rtzOzYQgykx,"HBV, Syphilis and HCV (Blood Donation Testing) Out",AGGREGATE,"HBV, Syphilis and HCV",INTEGER_ZERO_OR_POSITIVE,lHz6YLIMbWC
"MOH 706C HBV, Syphilis and HCV (Donor Notification)",g4hW39zcvGq,"HBV, Syphilis and HCV (Donor Notification)",AGGREGATE,"HBV, Syphilis and HCV",INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
MOH 706C HCV (Blood Donation Testing),JpgOhICtO95,HCV (Blood Donation Testing),AGGREGATE,HCV,INTEGER_ZERO_OR_POSITIVE,lHz6YLIMbWC
