name,id,shortName,numerator,denominator
OPV SIA Total Vaccinated(Ordinary Population),FjAXpqNdajd,OPV SIA Total Vaccinated(Ordinary Population),(#{qNnxpuVlFUV} + #{NjNPOHuemgm} + #{fiehe67U9O1} + #{IFJfF7NLgu0} + #{ttipyjqR9mH} + #{vaejdFkKmbO} ),1
OPV SIA Total Vaccinated(Special Population),Nh1anljoZS9,OPV SIA Total Vaccinated(Special Population),(#{xpZcEqvnYoc} + #{JveFJDlz6oV} + #{sgEpaCzTzvY} + #{OoQXhDZC2rl} + #{ocZqT75qL0Q}),1
OPV SIA Wastage Rate,MSQ95Z1iIFj,OPV SIA Wastage Rate,"(((#{lW5IiQIcOfZ} - (#{QX1YQitZw3F}))*20)

-
(
#{qNnxpuVlFUV} + #{NjNPOHuemgm} + #{fiehe67U9O1} + #{IFJfF7NLgu0} + #{ttipyjqR9mH} + #{vaejdFkKmbO} ))",((#{lW5IiQIcOfZ} - (#{QX1YQitZw3F}))*20)
OPV Wastage Rate,ETtGrPkdhR5,OPV Wastage Rate,#{kuxcnLoB85c.NhSoXUMPK2K}+#{g2ZhqF3DKMx.NhSoXUMPK2K}-#{iX5pEjcJowF.bCfwecaPx2W}+#{iX5pEjcJowF.ieuodyY5ybC}+#{t3QKFZbCf2B.bCfwecaPx2W}+#{t3QKFZbCf2B.ieuodyY5ybC}+#{OLlWZUfLtsR.bCfwecaPx2W}+#{OLlWZUfLtsR.ieuodyY5ybC}+#{c2Gm5hW3I4i.bCfwecaPx2W}+#{c2Gm5hW3I4i.ieuodyY5ybC}-#{g2ZhqF3DKMx.NhSoXUMPK2K},#{kuxcnLoB85c.NhSoXUMPK2K}+#{g2ZhqF3DKMx.NhSoXUMPK2K}
OPV Wastage Rate (WR),fb9rmo2aCHG,OPV Wastage Rate (WR),((#{kuxcnLoB85c.NhSoXUMPK2K}+#{BhPzqSAoc9Y.NhSoXUMPK2K})-#{g2ZhqF3DKMx.NhSoXUMPK2K})-(#{iX5pEjcJowF}+#{t3QKFZbCf2B}+#{OLlWZUfLtsR}+#{c2Gm5hW3I4i}),(#{kuxcnLoB85c.NhSoXUMPK2K}+#{BhPzqSAoc9Y.NhSoXUMPK2K})-#{g2ZhqF3DKMx.NhSoXUMPK2K}
ORS Co-Pack (4 sachets of low osmolarity ORS (500ml formulation) + 10 tablets of dispersible zinc sulphate tablets 20mg) (Pack)MoS,JTrO9OYowPR,ORS Co-Pack  + 10 tablets,#{IXOZKkAxEFu.n8XlCFUpWOG},#{vu1eIRte2X7.QvctQfKAQn3}
OTP total admissions,KRHm7Sanfxt,OTP total admissions,#{LjsOqUgyXHh} + #{bd8U9fw9YjP} + #{ue73Z4usGVw} + #{O8o1g2j4zTD},1
On ART_12 months,veRXrcZe8eF,On ART_12 months,#{S1z1doLHQg1},1
Oral self-test Kit MoS,K8hSSQSwnny,Oral self-test Kit MoS,#{nkbtH1u9zfA.CGnwPpnZ7n7},#{uSncmqR1fxb.QvctQfKAQn3}
Other GOK funds Accounting Rate,FWbfaE4Solq,Other GOKAccounting Rate,#{oMWJpAyAIUh.wpNbJwjNUZy},#{uq2Izs9ZGT7.wpNbJwjNUZy}
Other GOK funds utilization Rate,cmmTutH98Ig,Other GOK utilization Rat,#{uq2Izs9ZGT7.wpNbJwjNUZy},#{QLC6ejj76za.wpNbJwjNUZy}
Oxytocin Injection 10 I.U. (Ampoule) MoS,ffP7j9XBixo,Oxytocin Injection 10 I.U. (Ampoule),#{rEQd6IDeXWT.n8XlCFUpWOG},#{PQks88LiY83.QvctQfKAQn3}
PCR (3 to 8 months) Confirmed Infant Test Results Positive,hu6pGi3Otf4,PCR (3-8m) Positive,#{DmzoPpXMH6H.NhSoXUMPK2K},1
PCR (3 to 8 months) Infant Testing,iScDHVk20nQ,PCR (3-8m) Testing,#{dU4uzYQRht0.NhSoXUMPK2K},1
PCR (9 to 12 months) Confirmed Infant Test Results Positive,OZoYCP5tYZh,PCR (9-12m) Positive,#{XDBAu5ZHxVM.NhSoXUMPK2K},1
PCR (9 to 12 months) Infant Testing,HbQ7bU8Rna7,PCR (9-12m) Testing,#{zuxd3VsX5Tg.NhSoXUMPK2K},1
PCR (by 2 months) Confirmed Infant Test Results Positive,f60Ttg8uio3,PCR (2m) Positive,#{WvDEUeGbKND.NhSoXUMPK2K},1
PCR (by 2 months) Infant Testing,TW7F64i4hdY,PCR (2m) Testing,#{xHzNEXBp4Hd.NhSoXUMPK2K},1
PEP Occupational,yHJ4IPKFSzg,PEP Occupational,#{mVqxeaMf4eM.NhSoXUMPK2K}+#{a7bKRU1Cyy9.NhSoXUMPK2K},1
PEP Other Reasons,sehSFqYaLJq,PEP Other Reasons,#{eEQVqOeYn7t.NhSoXUMPK2K}+#{mL7cDqmhW9T.NhSoXUMPK2K},1
PEP Sexual Assault,Ixd2WB2yscQ,PEP Sexual Assault,#{e86oTpPw0Us.NhSoXUMPK2K}+#{zSWnmIya1jy.NhSoXUMPK2K},1
PEP_Proportion of Clients who Received PEP,kRyEpiV3Wwl,PEP_Prop of Clients who Received PEP,(#{SMUVPzuyFAB} + #{KrDWcJMS9Vi}),(#{v3dZh9KqTv0} + #{BHbWgZR2CAQ})
PMI Total ALs Dispensed,E1J6vMP5hFO,PMI Total ALs Dispensed,(#{BnGDrFwyQp9.w77uMi1KzOH}*6)+(#{c0MB4RmVjxk.w77uMi1KzOH}*12)+(#{qnZmg5tNSMy.w77uMi1KzOH}*18)+(#{gVp1KSFI69G.w77uMi1KzOH}*24),1
PMI Total ALs dispensed by WT band,Gwr4lywXLiM,PMI Total ALs dispensed by WT band,(#{zB1NW37bi46.LGF6iqCIERd}*6) + (#{zB1NW37bi46.Y91nbvpppbG}*12)+(#{zB1NW37bi46.lBMSm0aBgXs}*18) + (#{zB1NW37bi46.abmGKYBTUWU}*24),1
PMI_ACT MOS,lHPLS1G5CUc,PMI_ACT MOS,(#{BnGDrFwyQp9.rPAsF4cpNxm}*6) + (#{c0MB4RmVjxk.rPAsF4cpNxm}*12)  + (#{qnZmg5tNSMy.rPAsF4cpNxm}*18) + (#{gVp1KSFI69G.rPAsF4cpNxm}*24) ,(#{jfUzb86mBSP.miM6uIJ2cWx}*6) + (#{HwvUHnslwbh.miM6uIJ2cWx}*12) + (#{OLYLVMDHEj8.miM6uIJ2cWx}*18) + (#{UJeKVZzAnfS.miM6uIJ2cWx}*24)
PMI_AL12 MOS Stock,VJjIApOdBDM,PMI_AL12 MOS Stock,#{iZe9QHpC31Y.HMTuusGLTUj},#{HwvUHnslwbh.miM6uIJ2cWx}
PMI_AL12 Pending MOS,LzIEVzUpWIG,PMI_AL12 Pending MOS,#{iZe9QHpC31Y.sEiFVVjqcfg},#{HwvUHnslwbh.miM6uIJ2cWx}
PMI_AL12 RoQ,gcVpQzvCAvD,PMI_AL12 RoQ,(#{HwvUHnslwbh.miM6uIJ2cWx} * 6) - #{c0MB4RmVjxk.rPAsF4cpNxm},1
PMI_AL18 MoS Stock,xifzJdZepGL,AL18 MoS Stock,#{Kkh8ZtRWFmX.HMTuusGLTUj},#{OLYLVMDHEj8.miM6uIJ2cWx}
PMI_AL18 Pending MOS,UW54RautAEK,PMI_AL18 Pending MOS,#{Kkh8ZtRWFmX.sEiFVVjqcfg},#{OLYLVMDHEj8.miM6uIJ2cWx}
PMI_AL18 RoQ,XaKPjqodefi,PMI_AL18 RoQ,(#{OLYLVMDHEj8.miM6uIJ2cWx} * 6) - #{qnZmg5tNSMy.rPAsF4cpNxm},1
PMI_AL24 MoS Stock,m5JchlPXYGh,AL24 MoS Stock,#{E7M967QxxFc.HMTuusGLTUj},#{UJeKVZzAnfS.miM6uIJ2cWx}
PMI_AL24 Pending MOS,V00M1X2mgCp,PMI_AL24 Pending MOS,#{E7M967QxxFc.sEiFVVjqcfg},#{UJeKVZzAnfS.miM6uIJ2cWx}
PMI_AL24 RoQ,dFUJ2s5wqU9,PMI_AL24 RoQ,(#{UJeKVZzAnfS.miM6uIJ2cWx} * 6) - #{gVp1KSFI69G.rPAsF4cpNxm} ,1
PMI_AL6 MoS Stock,A3hCPRmBEc1,AL6 MoS Stock,#{Aui7lNDOsSF.HMTuusGLTUj},#{jfUzb86mBSP.miM6uIJ2cWx}
PMI_AL6 Pending MOS,E8WZg2xUe6D,PMI_AL6 Pending MOS,#{Aui7lNDOsSF.sEiFVVjqcfg},#{jfUzb86mBSP.miM6uIJ2cWx}
PMI_AL6 RoQ,M9GteSIZ0XN,PMI_AL6 RoQ,(#{jfUzb86mBSP.miM6uIJ2cWx} * 6) - #{BnGDrFwyQp9.rPAsF4cpNxm},1
PMI_ASinj MOS,SSARcWY2Ge1, PMI_ASinj MOS,#{iOARK31NdLp.rPAsF4cpNxm},#{naztfZrbMtd.miM6uIJ2cWx}
PMI_ASinj need pq ,U2KpOVZOegw,PMI_ASinj need pq ,#{naztfZrbMtd.miM6uIJ2cWx} * 6,1
PMI_All AL Adjusted consumption,fiVSJyM5cDs,PMI_All AL Adjusted consumption,(#{jfUzb86mBSP.miM6uIJ2cWx}*6) + (#{HwvUHnslwbh.miM6uIJ2cWx}*12) + (#{OLYLVMDHEj8.miM6uIJ2cWx}*18) + (#{UJeKVZzAnfS.miM6uIJ2cWx}*24),1
PMI_All ALs physical count,Mmy9MoUdbhZ,PMI_All ALs physical count,(#{BnGDrFwyQp9.rPAsF4cpNxm}*6) + (#{c0MB4RmVjxk.rPAsF4cpNxm}*12)  + (#{qnZmg5tNSMy.rPAsF4cpNxm}*18) + (#{gVp1KSFI69G.rPAsF4cpNxm}*24) ,1
PMI_ArtInj MoS Stock,AcHIhCDHQ5q,ArtInj MoS Stock,#{Wupc6TOJhcK.HMTuusGLTUj},#{naztfZrbMtd.miM6uIJ2cWx}
PMI_Artemether-Lumefantrine 20/120 Tabs 12s MOS,nK8sqMAeQHY,Artemether-Lumefantrine 20/120 Tabs 12s MOS,#{c0MB4RmVjxk.rPAsF4cpNxm},#{HwvUHnslwbh.miM6uIJ2cWx}
PMI_Artemether-Lumefantrine 20/120 Tabs 18s MOS,ZcngDQJKiEg,Artemether-Lumefantrine 20/120 Tabs 18s MOS,#{qnZmg5tNSMy.rPAsF4cpNxm},#{OLYLVMDHEj8.miM6uIJ2cWx}
PMI_Artemether-Lumefantrine 20/120 Tabs 24s MOS,wOKbEd8Dbi3,Artemether-Lumefantrine 20/120 Tabs 24s MOS,#{gVp1KSFI69G.rPAsF4cpNxm},#{UJeKVZzAnfS.miM6uIJ2cWx}
PMI_Artemether-Lumefantrine 20/120 Tabs 6s MOS,HfGVoCZAwtd,Artemether-Lumefantrine 20/120 Tabs 6s,#{BnGDrFwyQp9.rPAsF4cpNxm},#{jfUzb86mBSP.miM6uIJ2cWx}
PMI_Consistency_AL12,qpx0fqeDegY,PMI_Consistency_AL12,((#{c0MB4RmVjxk.HWtHCLAwprR} + #{c0MB4RmVjxk.CckV73xy6HB} + #{c0MB4RmVjxk.yuvCdaFqdCW}) - ( #{c0MB4RmVjxk.w77uMi1KzOH} + #{c0MB4RmVjxk.unVIt2C0cdW})),1
PMI_Consistency_AL18,SCr494TlOHl,PMI_Consistency_AL18,((#{qnZmg5tNSMy.HWtHCLAwprR} + #{qnZmg5tNSMy.yuvCdaFqdCW} + #{qnZmg5tNSMy.CckV73xy6HB}) - (#{qnZmg5tNSMy.w77uMi1KzOH} + #{qnZmg5tNSMy.unVIt2C0cdW})),1
PMI_Consistency_AL24,XRT0idLdlWN,PMI_Consistency_AL24,((#{gVp1KSFI69G.HWtHCLAwprR} + #{gVp1KSFI69G.CckV73xy6HB} + #{gVp1KSFI69G.yuvCdaFqdCW}) - (#{gVp1KSFI69G.w77uMi1KzOH} + #{gVp1KSFI69G.unVIt2C0cdW})),1
PMI_Consistency_AL6,z9SY9cLvpHd,PMI_Consistency_AL6,((#{BnGDrFwyQp9.HWtHCLAwprR} + #{BnGDrFwyQp9.CckV73xy6HB} + #{BnGDrFwyQp9.yuvCdaFqdCW}) - (#{BnGDrFwyQp9.w77uMi1KzOH} + #{BnGDrFwyQp9.unVIt2C0cdW})),1
PMI_Consistency_ASInj,kZvehAC6BM6,PMI_Consistency_ASInj,((#{iOARK31NdLp.HWtHCLAwprR} + #{iOARK31NdLp.CckV73xy6HB} + #{iOARK31NdLp.yuvCdaFqdCW}) - (#{iOARK31NdLp.unVIt2C0cdW} + #{iOARK31NdLp.w77uMi1KzOH})),1
PMI_Consistency_RDT,PFkHE2JAtQr,PMI_Consistency_RDT,((#{cPlWFYbBacW.HWtHCLAwprR} + #{cPlWFYbBacW.yuvCdaFqdCW} + #{cPlWFYbBacW.CckV73xy6HB}) - (#{cPlWFYbBacW.unVIt2C0cdW} + #{cPlWFYbBacW.w77uMi1KzOH})),1
PMI_Consistency_SP,oU6RZ8HgzYE,PMI_Consistency_SP,((#{imheYfA1Kiw.HWtHCLAwprR} + #{imheYfA1Kiw.CckV73xy6HB} + #{imheYfA1Kiw.yuvCdaFqdCW}) - (#{imheYfA1Kiw.unVIt2C0cdW} + #{imheYfA1Kiw.w77uMi1KzOH})),1
PMI_LLIN MOS,gEDxkvJmRAm,PMI_LLIN MOS,#{f0AIAR5pJ2F.rPAsF4cpNxm},#{xZs759QOGvh.miM6uIJ2cWx}
PMI_LLIN MOS Stock,TaF3YvKkHvw,PMI_LLIN MOS Stock,#{ZiLVFNkjwdB.HMTuusGLTUj},#{xZs759QOGvh.miM6uIJ2cWx}
PMI_LLIN need pq,nNlAdtxPHRL,PMI_LLIN need pq,#{xZs759QOGvh.miM6uIJ2cWx}  * 6,1
PMI_LLIN pending MOS,GIT0eNn3vbW,PMI_LLIN pending MOS,#{ZiLVFNkjwdB.sEiFVVjqcfg},#{xZs759QOGvh.miM6uIJ2cWx}
PMI_RDT MOS,UUNwkYQhYgX,PMI_RDT MOS,#{cPlWFYbBacW.rPAsF4cpNxm},#{Umi8ZsiqBHw.miM6uIJ2cWx}
PMI_RDT MOS Stock,MqaP08m7qpB,PMI_RDT MOS Stock,#{ALnonKSyDct.HMTuusGLTUj},#{Umi8ZsiqBHw.miM6uIJ2cWx}
PMI_RDT RoQ,SQ6fJu6iUGz,PMI_RDT RoQ,(#{Umi8ZsiqBHw.miM6uIJ2cWx} * 6) - #{eFqDcjgvt39.ZxUQw1ay1cw},1
PMI_RDT need pq ,AecI5IRlRSR,PMI_RDT need pq ,#{Umi8ZsiqBHw.miM6uIJ2cWx} * 6,1
PMI_RDT pending MOS,W1VReF5uwnI,PMI_RDT pending MOS,#{ALnonKSyDct.sEiFVVjqcfg},#{Umi8ZsiqBHw.miM6uIJ2cWx}
PMI_SP MOS,AX1co0SXobM,PMI_SP MOS,#{imheYfA1Kiw.rPAsF4cpNxm},#{EtG9ozt2joA.miM6uIJ2cWx}
PMI_SP MoS Stock,ImjyH2PKcrb,SP MoS Stock,#{lZCba7Ijb7x.HMTuusGLTUj},#{EtG9ozt2joA.miM6uIJ2cWx}
PMI_SP RoQ,p6CAZPb0mId,PMI_SP RoQ,(#{EtG9ozt2joA.miM6uIJ2cWx} * 6) - #{imheYfA1Kiw.rPAsF4cpNxm},1
PMI_SP need pq,TNWcde51FIt,PMI_SP need pq,#{EtG9ozt2joA.miM6uIJ2cWx}  * 6,1
PMI_SP pending MOS,ELorMg0kQhA,PMI_SP pending MOS,#{lZCba7Ijb7x.sEiFVVjqcfg},#{EtG9ozt2joA.miM6uIJ2cWx}
PMI_artinj Pending MOS,Rf9K17Q8KA5,PMI_artinj Pending MOS,#{Wupc6TOJhcK.sEiFVVjqcfg},#{naztfZrbMtd.miM6uIJ2cWx}
PMI_artinj RoQ,GjTDTx3NYPn,PMI_artinj RoQ,(#{naztfZrbMtd.miM6uIJ2cWx} * 6) - #{iOARK31NdLp.rPAsF4cpNxm},1
PMTCT (EBF + ERF) Rate,uwOktfOYc7t,PMTCT (EBF + ERF) Rate,#{Gz58GjVpyHH.NhSoXUMPK2K}+#{Q1PZPHZGp8B.NhSoXUMPK2K},#{TanTUukvqDX.NhSoXUMPK2K}
PMTCT ARV Prophylaxis Rate (Infant),r5gZDfgogp0,ARV Prophylaxis Rate-Infa,#{uay9KC6l64J.NhSoXUMPK2K},#{aU3yS6kF44S.NhSoXUMPK2K}
PMTCT ARV Prophylaxis Rate (Mother),BYkpezlbl5y,ARV Prophylaxis Rate,#{g62PclQcVba.NhSoXUMPK2K},#{A00MjWUoJu7.NhSoXUMPK2K}
PMTCT Infant Prophylaxis,KMy83Jn1QgO,PMTCT Infant Prophylaxis,#{HAumxpKBaoK} + #{Jn6ATTfXp02} + #{RY1js5pK2Ep},1
PMTCT MF Rate,cjMPhs0yyoR,PMTCT MF Rate,#{gm5CUNLylIt.NhSoXUMPK2K},#{TanTUukvqDX.NhSoXUMPK2K}
PMTCT Positive,OOxIjUgF4A7,PMTCT Positive,#{nwXS5vxrrr7} + #{hn3aChn4sVx} + #{AfHArvGun12} + #{hHLR1HP8xzI},1
PMTCT Positivity Infants,qJxnnnqkeVi,PMTCT Positivity Infants,#{PrJOGNh7o2I.NhSoXUMPK2K},#{o9XSl5xVCez.NhSoXUMPK2K}
PMTCT Positivity at ANC,wwGiaOYituR,PMTCT Positivity at ANC,#{TJMdle70A7X.NhSoXUMPK2K}+#{GCAkHwMAWM6.NhSoXUMPK2K},#{f9vesk5d4IY.NhSoXUMPK2K}
PMTCT Prophylaxis Ratio - (AZT+SdNVP),ef6iSFXY2Zw,Prophylaxis  (AZT+SdNVP),#{dba7gHtgiLi.NhSoXUMPK2K},#{dba7gHtgiLi.NhSoXUMPK2K}+#{ZXz75qizYqq.NhSoXUMPK2K}+#{BZ9EGLQPnvl.NhSoXUMPK2K}+#{gZJBc0JpNXy.NhSoXUMPK2K}
PMTCT Prophylaxis Ratio - Interrupted HAART,tGHzBr24oEl,Prophylaxis - Interrupted,#{ZXz75qizYqq.NhSoXUMPK2K},#{dba7gHtgiLi.NhSoXUMPK2K}+#{ZXz75qizYqq.NhSoXUMPK2K}+#{BZ9EGLQPnvl.NhSoXUMPK2K}+#{gZJBc0JpNXy.NhSoXUMPK2K}
PMTCT Prophylaxis Ratio - NVP Only,GWV3Aa6HLf1,Prophylaxis - NVP Only,#{BZ9EGLQPnvl.NhSoXUMPK2K},#{dba7gHtgiLi.NhSoXUMPK2K}+#{ZXz75qizYqq.NhSoXUMPK2K}+#{BZ9EGLQPnvl.NhSoXUMPK2K}+#{gZJBc0JpNXy.NhSoXUMPK2K}
PMTCT Prophylaxis Ratio - Treatment HAART (ART),iRZlRBXV7eS,Prophylaxis - HAART (ART),#{gZJBc0JpNXy.NhSoXUMPK2K},#{dba7gHtgiLi.NhSoXUMPK2K}+#{ZXz75qizYqq.NhSoXUMPK2K}+#{BZ9EGLQPnvl.NhSoXUMPK2K}+#{gZJBc0JpNXy.NhSoXUMPK2K}
PMTCT Total Positive,VsRrzNMda22,PMTCT Total Positive,#{nwXS5vxrrr7} + #{hn3aChn4sVx} + #{AfHArvGun12}+#{hHLR1HP8xzI} + #{qSgLzXh46n9},1
PMTCT Unreached Mothers,cmeMfuPL3VL,PMTCT Unreached Mothers,#{rSfCham9BzD} - (#{nwXS5vxrrr7} + #{hn3aChn4sVx} + #{AfHArvGun12}+#{hHLR1HP8xzI} + #{qSgLzXh46n9}),1
PMTCT updake among ANC clients,gdOTEyXdIhq,PMTCT ANC test rate,#{nspwXhqQaAz.NhSoXUMPK2K},#{f9vesk5d4IY.NhSoXUMPK2K}
PMTCT_Maternal HAART,ArG6zbCMBr2,Total Maternal HAART,#{lJpaBye9B0H} + #{UMyB7dSIdz1} + #{vkOYqEesPAi} + #{ckPCoAwmWmT} + #{WNFWVHMqPv9},1
"PMTCT_Number of HIV Positive  women at (ANC,L&D and PNC) ",FDFbFf4wBn9,"PMTCT (ANC,L&D and PNC) ",#{nwXS5vxrrr7} + #{hn3aChn4sVx} + #{AfHArvGun12}+#{hHLR1HP8xzI} + #{qSgLzXh46n9},1
PMTCT_Proportion of HEI who had an initial PCR test within 12 months.,mVxlI0MBFg4,PMTCT_Prop of HEI had  initial PCR test  12 mths.,(#{UIok7l6W4nh} + #{KQDcvUpq0rx}),(#{C8xdcRWT9d2} + #{AfHArvGun12})
PMTCT_Proportion of HIV positive women receiving Maternal HAART,oiM2CeBHx22,PMTCT_PrOP of HIV positive women receiving HAART,(#{lJpaBye9B0H} + #{WNFWVHMqPv9} + #{ckPCoAwmWmT} + #{vkOYqEesPAi} + #{UMyB7dSIdz1} ),(#{nwXS5vxrrr7} + #{hn3aChn4sVx} + #{AfHArvGun12} + #{hHLR1HP8xzI} + #{qSgLzXh46n9})
PMTCT_Proportion of HIV postive preganant women issued with Infant prophylaxis,beRpKBartBo,PMTCT_ProP HIV+preG women iss Infant prophylaxis,(#{HAumxpKBaoK} + #{Jn6ATTfXp02} + #{RY1js5pK2Ep}),(#{oZc8MNc0nLZ} + #{nwXS5vxrrr7} + #{hn3aChn4sVx} + #{AfHArvGun12})
"PMTCT_Proportion of HIV pregnant and breastfeeding women identified in ANC, L&D and PNC(coverage)",LlB3NWi7JZs,propof HIV preg and brstfng womn identified,(#{nwXS5vxrrr7} + #{hn3aChn4sVx} + #{AfHArvGun12} + #{hHLR1HP8xzI} + #{qSgLzXh46n9}),63045
PMTCT_Proportion of Pregnant women who know their HIV status,mYm3hGNDKr8,PMTCT-Prop of Pg women who know their HIV status,(#{qSgLzXh46n9} + #{ETX9cUWF43c} + #{mQz4DhBSv9V} + #{LQpQQP3KnU1}) + #{UMyB7dSIdz1},#{pct05jgGcLt}
PMTCT_Proportion of pregnant women attending ANC screened for syphilis,hKKyQC5IHar,PMTCT_Prop of  ANC women screened for syphilis,#{i5jVVTm1vI8},#{uSxBUWnagGg}
PMTCT_Total tested,JHbRQiLrFyc,PMTCT_tsted,(#{PXUzSsmeY0P} + #{mQz4DhBSv9V} + #{ETX9cUWF43c} + #{LQpQQP3KnU1}),1
PNC Attendance (2-3days) Coverage,LAiLxs7oCAg,PNC Attendance (2-3days) Cov,#{wAeGJlvuydG},#{tmlMpIqHimf.NhSoXUMPK2K}
PNC Attendance (3days-6weeks) Coverage,h1zRbfKuY3l,PNC Attendance (3days-6weeks) Coverage,#{Lp9qb2iKLMJ},#{tmlMpIqHimf}
PNC Attendance (within 48 hours) Coverage,xgMf5X8cE7D,PNC Attendance (within 48 hours) Coverage,#{qahRo2120r8},#{QStt76mU06X}
PNC Attendance 1st Visit,Jo8mm5EII0i,PNC Attendance 1st Visit,#{QStt76mU06X.wBWcFk7k1qY},#{JOnT3OiMd5o}
PNC within 48hours (Infants),IhseOshzo8K,PNC within 48hours (Infants),#{wxg6cuH9cXF},#{UqKC1DJnymn}
PNC within 48hours (Mother),KXOpQO6bxoU,PNC within 48hours (Mother),#{qahRo2120r8},#{jaPrPmor6WV} + #{rAZBTMa7Jy3} + #{sMqM8DwiAaj} + #{Kx64gGqaFVq}
PSI: Total incident Category (Patient),HtRAthSF4Al,PSI-Total,#{JisUZvtOpbc} + #{ASXjpUvLetG} + #{j0n5Zvis3gl} + #{HkRiwqnnyKn} + #{PvRaMA7c9cI},1
PTB+ HIV+ out of Tested PTB+,m3OHf1uL88H,% PTB+ HIV+,#{Vri74blSuoL.PIRmDAU7eSv},#{CQVzChlE9qw.PIRmDAU7eSv}
PTB+ out of total TB cases,CZFIlU5nkLr,PTB+ out of total TB ,#{MmsSJfunbRu.PIRmDAU7eSv},#{MmsSJfunbRu}
PTB+ tested for HIV out of  the registered PTB+,XSVvJ2lYhua,% PTB+ tested,#{CQVzChlE9qw.PIRmDAU7eSv},#{MmsSJfunbRu.PIRmDAU7eSv}
PTB- >15 yrs tested for HIV out of the registered PTB- >15 yrs,NANEwxoBHMl,% PTB- >15 yrs tested,#{CQVzChlE9qw.TgiG5Y15JDI},#{MmsSJfunbRu.TgiG5Y15JDI}
"PTB<15 yrs, smear not done and are HIV+ out of Tested PTB<15 yrs, smear not done",IWYcl38p1e4,"% PTB<15 yrs, smear not d",#{Vri74blSuoL.JblIQh4f0Oc},#{CQVzChlE9qw.JblIQh4f0Oc}
"PTB<15 yrs, smear not done out of total TB cases",W0s4lhlNkc5,"% PTB<15 yrs,  not done",#{MmsSJfunbRu.cWPCEmypCYS},#{MmsSJfunbRu}
"PTB>15 yrs, smear not done and are HIV+ out of Tested PTB>15 yrs, smear not done",ezyvhgfuklu,"% PTB>15 yrs, smear not d",#{Vri74blSuoL.dNZZydqWJFy},#{CQVzChlE9qw.dNZZydqWJFy}
"PTB>15 yrs, smear not done out of total TB cases",jYt6HbKsLkK,"% PTB>15 yrs, not done",#{MmsSJfunbRu.dNZZydqWJFy},#{MmsSJfunbRu}
"Paracetamol Syrup/Suspension, 120mg/5ml (60ml Bottle) MoS",tAcjBkf9vqR,"Paracetamol Syrup/Suspension, 120mg/5ml ",#{DclammcSWra.n8XlCFUpWOG},#{fssTWMkgFm3.QvctQfKAQn3}
"Paracetamol Tablets, 500mg (Tablet) MoS",MVFnuEjVRIH,"Paracetamol Tablets, 500mg (Tablet)",#{l5mDKpIdb3U.n8XlCFUpWOG},#{NKHbkWxRihZ.QvctQfKAQn3}
Patients currently on prophylaxis,IbK2qJEk17b,Patients Prophylaxis,#{KzIawX7xMAv.j03wX0lCHZc}+#{KzIawX7xMAv.vVketPHJwSY}+#{KzIawX7xMAv.omEDL5LVgDJ}+#{KzIawX7xMAv.g6112VF7T29}+#{eM7FcVVzvz1.j03wX0lCHZc}+#{eM7FcVVzvz1.vVketPHJwSY}+#{eM7FcVVzvz1.omEDL5LVgDJ}+#{eM7FcVVzvz1.g6112VF7T29},1
Patients started on ARVs,ISQsztUZJnX,Patients start ARV,#{cTY2tTKwUqd.j03wX0lCHZc}+#{cTY2tTKwUqd.vVketPHJwSY}+#{cTY2tTKwUqd.omEDL5LVgDJ}+#{cTY2tTKwUqd.g6112VF7T29}+#{eNcsljfoUKW.j03wX0lCHZc}+#{eNcsljfoUKW.vVketPHJwSY}+#{eNcsljfoUKW.omEDL5LVgDJ}+#{eNcsljfoUKW.g6112VF7T29}+#{jFrSw8UkNQ4.j03wX0lCHZc}+#{jFrSw8UkNQ4.vVketPHJwSY}+#{jFrSw8UkNQ4.omEDL5LVgDJ}+#{jFrSw8UkNQ4.g6112VF7T29}+#{GlGolXdf6gr.j03wX0lCHZc}+#{GlGolXdf6gr.vVketPHJwSY}+#{GlGolXdf6gr.omEDL5LVgDJ}+#{GlGolXdf6gr.g6112VF7T29},1
